Project Name,Status,Message,Log File,
SBT_Workflow,Success,DLL-Location:X:\RahulC\RahulBT\BT\branches\R1.4.2\Binaries\RahulTest4_2017-10-11\Binaries\bin\SBT_Workflow.dll,X:\RahulC\RahulBT\BT\branches\R1.4.2\Binaries\RahulTest4_2017-10-11\Binaries\bin\logs\SBT_Workflow.log,
libBT7_Extensions,Success,DLL-Location:X:\RahulC\RahulBT\BT\branches\R1.4.2\Binaries\RahulTest4_2017-10-11\Binaries\bin\libBT7_Extensions.dll,X:\RahulC\RahulBT\BT\branches\R1.4.2\Binaries\RahulTest4_2017-10-11\Binaries\bin\logs\libBT7_Extensions.log,
